"record_id","scientific_name","common_name","vitality","osgr_1km","latitude","longitude","country","start_date_year"
"aa74be87-cf58-4c53-a8cb-116c0beb1c46","Lutra lutra","Eurasian Otter","dead","ST1078",51.5,-3.3,"United Kingdom",2020
"a8be0dc9-a14a-4b32-a641-9ef3f8f11b24","Lutra lutra","Eurasian Otter","dead","NS7755",55.78,-3.95,"United Kingdom",2020
"a77fadcb-94de-4b00-af85-43b4ab6c5f21","Lutra lutra","Eurasian Otter","dead","ST8223",51.01,-2.24,"United Kingdom",2015
"a4abadbf-f7f7-44ec-8069-00e673b0c4cb","Lutra lutra","Eurasian Otter","dead","SX4953",50.36,-4.12,"United Kingdom",2016
"9ea55b75-1496-4cde-8183-725ecf23b854","Lutra lutra","Eurasian Otter","dead","SO3110",51.79,-2.99,"United Kingdom",2015
"9aa6edc4-d8b3-4640-a025-f8282b5f4a34","Lutra lutra","Eurasian Otter","dead","SP4001",51.72,-1.42,"United Kingdom",2015
"987f7d5a-20a5-4713-a730-ea2d733f8465","Lutra lutra","Eurasian Otter","dead","NS0266",55.85,-5.16,"United Kingdom",2015
"9430060b-404a-4e60-83e3-6e6f8cbb6161","Lutra lutra","Eurasian Otter","dead","NM5440",56.5,-5.99,"United Kingdom",2015
"9335467b-68ac-48e7-a996-f930044404dd","Lutra lutra","Eurasian Otter","dead","SD5173",54.16,-2.74,"United Kingdom",2015
"924a3385-7195-42c8-9563-2ef8e075bcc1","Lutra lutra","Eurasian Otter","dead","ST3140",51.16,-2.99,"United Kingdom",2017
"8eba75b6-a6c4-415b-80d7-4ccdf4217cb2","Lutra lutra","Eurasian Otter","dead","NS9224",55.5,-3.7,"United Kingdom",2018
"8b6cf7ef-8d4f-4565-a3e8-7809ff5b4952","Lutra lutra","Eurasian Otter","dead","NT2467",55.89,-3.2,"United Kingdom",2019
"851484fc-6ba3-4fea-9081-89198f388d78","Lutra lutra","Eurasian Otter","dead","NT2449",55.73,-3.21,"United Kingdom",2016
"8281905d-173b-4381-96ef-ce7061800fed","Lutra lutra","Eurasian Otter","dead","SO8119",51.87,-2.27,"United Kingdom",2021
"827837de-2646-475e-8ff5-ef1ef7862509","Lutra lutra","Eurasian Otter","dead","ST3044",51.2,-3,"United Kingdom",2015
"7ec97901-0a97-45a5-aacc-4e52f124b22d","Lutra lutra","Eurasian Otter","dead","NM6938",56.48,-5.75,"United Kingdom",2015
"7d02a8fc-7308-48b9-b560-ecea6ab2a38d","Lutra lutra","Eurasian Otter","dead","SU1542",51.18,-1.78,"United Kingdom",2015
"7507edf7-b958-4d99-b071-66e9bc99e9f0","Lutra lutra","Eurasian Otter","dead","SN0530",51.94,-4.83,"United Kingdom",2014
"75071ec2-2ea4-41eb-bf41-b5ea09602139","Lutra lutra","Eurasian Otter","dead","SD4279",54.21,-2.89,"United Kingdom",2015
"6a1ac56e-df00-41ec-8587-1dae4cde9aba","Lutra lutra","Eurasian Otter","dead","TL2988",52.48,-0.09,"United Kingdom",2014
"697a7b0f-8cbf-4084-9765-e6b65b3ec476","Lutra lutra","Eurasian Otter","dead","NG8219",57.22,-5.61,"United Kingdom",2016
"69244362-9e32-4d73-8979-d5b82ba9567f","Lutra lutra","Eurasian Otter","dead","NH9016",57.22,-3.82,"United Kingdom",2019
"69126948-3703-46f2-8890-5ef1554573fc","Lutra lutra","Eurasian Otter","dead","SZ0698",50.78,-1.91,"United Kingdom",2019
"67aecd10-7f70-481c-ba6e-4e1d81428e50","Lutra lutra","Eurasian Otter","dead","SE0145",53.9,-1.97,"United Kingdom",2019
"669fa5d4-a96d-422a-9f20-9bca4e55c780","Lutra lutra","Eurasian Otter","dead","ST8099",51.69,-2.28,"United Kingdom",2022
"657c0291-78bf-49e1-84cc-270c34e81e79","Lutra lutra","Eurasian Otter","dead","SN5722",51.88,-4.07,"United Kingdom",2015
"63ff2da2-7b82-4c0a-864b-5cef8f1c79e9","Lutra lutra","Eurasian Otter","dead","TL0951",52.15,-0.41,"United Kingdom",2016
"6371583f-0f14-4e6b-b4af-7f0d4f340831","Lutra lutra","Eurasian Otter","dead","SO3110",51.79,-2.99,"United Kingdom",2018
"614b36e3-f8a6-4970-a6a4-c810d428be8f","Lutra lutra","Eurasian Otter","dead","TM3268",52.26,1.41,"United Kingdom",2020
"5d60eaef-efea-4137-b608-5c8b660c089c","Lutra lutra","Eurasian Otter","dead","NJ6334",57.4,-2.62,"United Kingdom",2021
"58de6c5c-d713-4b2d-bdc5-5fcad4e77dd2","Lutra lutra","Eurasian Otter","dead","TM0696",52.53,1.04,"United Kingdom",2018
"51291078-f927-4070-b800-eef16b755d76","Lutra lutra","Eurasian Otter","dead","NG6423",57.24,-5.9,"United Kingdom",2015
"4ed4eabf-c1b0-4b78-8c47-aca1e187f09c","Lutra lutra","Eurasian Otter","dead","SH6540",52.94,-4.01,"United Kingdom",2016
"4d15cf31-45a7-4f4d-9517-db212aaee395","Lutra lutra","Eurasian Otter","dead","NM5644",56.53,-5.96,"United Kingdom",2014
"4c340a1c-2814-4b45-9cbd-bde7cec04edd","Lutra lutra","Eurasian Otter","dead","SJ3704",52.64,-2.93,"United Kingdom",2014
"4c2268fc-ef99-401e-b59e-6055d32ea166","Lutra lutra","Eurasian Otter","dead","SD4845",53.9,-2.79,"United Kingdom",2021
"4aac92ce-eb58-406c-a1b3-08f29ade53b8","Lutra lutra","Eurasian Otter","dead","TG2713",52.67,1.36,"United Kingdom",2020
"4878c410-98ab-486d-a10d-9f4e392878e1","Lutra lutra","Eurasian Otter","dead","NZ2988",55.19,-1.54,"United Kingdom",2017
"44076dc7-c09d-4813-bba1-608f4034f7c5","Lutra lutra","Eurasian Otter","dead","SX7569",50.51,-3.76,"United Kingdom",2017
"4166d8a7-2d3d-4d65-ac22-5da8de7b66f1","Lutra lutra","Eurasian Otter","dead","SD7032",53.79,-2.45,"United Kingdom",2023
"3fb34bc6-8767-47ac-909f-cf0d8884794e","Lutra lutra","Eurasian Otter","dead","NG8019",57.21,-5.63,"United Kingdom",2015
"39588a3a-842e-49c8-9e09-9a852ec9d160","Lutra lutra","Eurasian Otter","dead","NM6143",56.52,-5.88,"United Kingdom",2014
"358e2eb9-dde5-4286-82ab-b802b9a80bc0","Lutra lutra","Eurasian Otter","dead","SD5830",53.77,-2.64,"United Kingdom",2015
"2c51d609-31c0-43a3-963d-27cad014d0ed","Lutra lutra","Eurasian Otter","dead","SJ7520",52.78,-2.37,"United Kingdom",2021
"29c6ee21-02f4-4169-9e67-31335feb1687","Lutra lutra","Eurasian Otter","dead","SX0863",50.44,-4.7,"United Kingdom",2015
"24c2b284-1f64-4a7f-9efc-c9f826bd1411","Lutra lutra","Eurasian Otter","dead","NO1120",56.37,-3.44,"United Kingdom",2019
"1f446b25-73dd-45e9-b53e-a2ff97f7ea75","Lutra lutra","Eurasian Otter","dead","NM5439",56.48,-5.99,"United Kingdom",2014
"1d3bc124-59c0-4389-b74d-ffb435a8c7a8","Lutra lutra","Eurasian Otter","dead","NO5637",56.53,-2.7,"United Kingdom",2021
